categorie,mois,jour_semaine,facteur_demande,facteur_std,nb_annees_data,confidence,notes
TERMINAL,1,0,0.85,0.12,3,HIGH,"Lundi janvier : après fêtes, demande réduite"
TERMINAL,1,5,1.45,0.18,3,HIGH,"Samedi janvier : soldes d'hiver actives"
TERMINAL,1,6,1.20,0.15,3,HIGH,"Dimanche : familles"
TERMINAL,2,5,1.35,0.16,3,HIGH,"Samedi février : soldes fin + pré-Ramadan"
TERMINAL,3,5,1.80,0.25,3,VERY_HIGH,"Samedi mars : Ramadan + fin mois = pic fort"
TERMINAL,4,5,2.50,0.30,3,VERY_HIGH,"Samedi Eid Al-Fitr = pic maximal annuel"
TERMINAL,4,6,2.30,0.28,3,VERY_HIGH,"Dimanche Eid : familles en boutique"
TERMINAL,5,5,1.20,0.14,3,HIGH,"Mai : retour à normale post-Eid"
TERMINAL,6,5,1.55,0.20,3,HIGH,"Juin : Eid Al-Adha + soldes été début"
TERMINAL,7,5,1.40,0.18,3,HIGH,"Juillet : soldes été, étudiants"
TERMINAL,8,0,0.90,0.12,3,MEDIUM,"Août : vacances, fréquentation réduite"
TERMINAL,9,5,1.65,0.22,3,HIGH,"Septembre : rentrée scolaire = pic terminaux"
TERMINAL,9,6,1.50,0.20,3,HIGH,"Dimanche rentrée : familles avec enfants"
TERMINAL,10,5,1.15,0.14,3,MEDIUM,"Octobre : retour normale post-rentrée"
TERMINAL,11,5,1.70,0.22,3,HIGH,"Novembre : Black Friday début"
TERMINAL,12,5,1.90,0.25,3,VERY_HIGH,"Décembre : soldes hiver + cadeaux Noël"
TERMINAL,12,0,1.30,0.18,3,HIGH,"Lundi décembre : achats cadeaux"
FORFAIT,1,0,0.88,0.10,3,HIGH,"Janvier : normalisation post-fêtes"
FORFAIT,1,5,1.20,0.14,3,HIGH,"Samedi : offres soldes forfaits"
FORFAIT,2,5,1.25,0.15,3,HIGH,"Février : pré-Ramadan, upsell data"
FORFAIT,3,5,1.50,0.20,3,VERY_HIGH,"Mars Ramadan : streaming Iftar = forte demande data"
FORFAIT,3,6,1.60,0.22,3,VERY_HIGH,"Dimanche Ramadan : familles connectées"
FORFAIT,4,5,1.70,0.22,3,VERY_HIGH,"Avril : post-Eid, nouveaux contrats"
FORFAIT,5,5,1.15,0.13,3,MEDIUM,"Mai : période calme"
FORFAIT,6,5,1.35,0.18,3,HIGH,"Juin : été + CAN éventuellement"
FORFAIT,7,5,1.45,0.20,3,HIGH,"Juillet : lancement 5G Ooredoo TN"
FORFAIT,8,5,1.30,0.18,3,HIGH,"Août : vacanciers, Data roaming domestique"
FORFAIT,9,5,1.50,0.20,3,HIGH,"Septembre : forfaits étudiants rentrée"
FORFAIT,10,5,1.10,0.12,3,MEDIUM,"Octobre : normalisation"
FORFAIT,11,5,1.30,0.17,3,HIGH,"Novembre : offres Black Friday data"
FORFAIT,12,5,1.40,0.18,3,HIGH,"Décembre : cadeaux forfaits familles"
SIM,1,5,1.10,0.13,3,MEDIUM,"Janvier : nouvelles activations post-fêtes"
SIM,3,5,1.30,0.17,3,HIGH,"Mars : nouvelles familles avant Eid"
SIM,4,5,1.80,0.25,3,VERY_HIGH,"Eid Al-Fitr : cadeaux SIM, nouvelles lignes"
SIM,6,5,1.40,0.20,3,HIGH,"Juin : Eid Al-Adha, voyageurs été"
SIM,7,5,1.35,0.18,3,HIGH,"Juillet : touristes internes, étudiants"
SIM,8,5,1.25,0.16,3,HIGH,"Août : retour vacanciers, nouvelles lignes"
SIM,9,5,1.55,0.22,3,HIGH,"Septembre : rentrée étudiants, nouvelles SIM"
SIM,12,5,1.30,0.17,3,HIGH,"Décembre : cadeaux SIM"
RECHARGE,1,5,1.20,0.14,3,HIGH,"Janvier : soldes recharges"
RECHARGE,3,1,1.80,0.25,3,VERY_HIGH,"Mardi Ramadan : recharges soirée Iftar"
RECHARGE,3,2,1.75,0.23,3,VERY_HIGH,"Mercredi Ramadan"
RECHARGE,3,3,1.70,0.22,3,VERY_HIGH,"Jeudi Ramadan"
RECHARGE,3,4,1.65,0.20,3,HIGH,"Vendredi Ramadan"
RECHARGE,3,5,2.20,0.30,3,VERY_HIGH,"Samedi Ramadan : recharges massives"
RECHARGE,3,6,2.00,0.28,3,VERY_HIGH,"Dimanche Ramadan"
RECHARGE,4,5,2.50,0.35,3,VERY_HIGH,"Eid Al-Fitr : pic absolu recharges"
RECHARGE,6,5,1.60,0.20,3,HIGH,"Eid Al-Adha"
RECHARGE,7,5,1.35,0.17,3,HIGH,"Juillet vacances"
RECHARGE,8,5,1.40,0.18,3,HIGH,"Août : dernières vacances"
RECHARGE,12,5,1.50,0.20,3,HIGH,"Décembre : appels famille fin d'année"
ACCESSOIRE,4,5,1.90,0.28,3,VERY_HIGH,"Eid : housses, protections pour nouveaux smartphones"
ACCESSOIRE,9,5,1.60,0.22,3,HIGH,"Rentrée : protections pour tablettes/smartphones étudiants"
ACCESSOIRE,12,5,1.70,0.24,3,HIGH,"Décembre : cadeaux accessoires"
ACCESSOIRE,11,5,1.50,0.20,3,HIGH,"Novembre : Black Friday accessoires"
