sku,product_name,category,unit_cost,unit_price,lead_time_days,lead_time_std,moq,holding_cost_pct,order_cost,lifecycle_stage,service_level_target
SIM-HOLI-001,Holiday SIM 10GB,SIM Cards,9,15,3,0,100,0.25,50,mature,0.93
SIM-ESIM-001,eSIM Activation Kit,SIM Cards,3,5,1,0,200,0.25,50,mature,0.93
SIM-PREP-001,Prepaid SIM Starter,SIM Cards,6,10,2,0,150,0.25,50,mature,0.93
SIM-POST-001,Postpaid SIM Premium,SIM Cards,0,0,1,0,100,0.25,50,mature,0.93
RTR-4G-001,4G Home Router Basic,Routers,53,89,14,2,20,0.25,50,mature,0.95
RTR-4G-002,4G Router Pro,Routers,77,129,14,2,15,0.25,50,mature,0.95
RTR-5G-001,5G Router Premium,Routers,179,299,21,4,10,0.25,50,growth,0.95
RTR-5G-002,5G Router Enterprise,Routers,269,449,21,4,5,0.25,50,growth,0.95
FBR-BOX-001,Fiber Box Standard,Fiber Boxes,47,79,10,2,25,0.25,50,mature,0.95
FBR-BOX-002,Fiber Box WiFi 6,Fiber Boxes,89,149,14,2,20,0.25,50,mature,0.95
FBR-BOX-003,Fiber Box Gaming,Fiber Boxes,119,199,14,2,15,0.25,50,mature,0.95
RCH-MOB-010,Mobile Recharge 10DT,Recharges,6,10,0,0,500,0.25,50,mature,0.93
RCH-MOB-020,Mobile Recharge 20DT,Recharges,12,20,0,0,500,0.25,50,mature,0.93
RCH-INT-050,Internet Package 50GB,Recharges,15,25,0,0,300,0.25,50,mature,0.93
RCH-STR-001,Monthly Streaming Subscription,Recharges,7,12,0,0,200,0.25,50,mature,0.93
PHN-SAM-S24,Samsung Galaxy S24,Smartphones,539,899,30,6,5,0.25,50,mature,0.97
PHN-IPH-15,iPhone 15,Smartphones,599,999,30,6,5,0.25,50,mature,0.97
PHN-XIA-13,Xiaomi 13 Pro,Smartphones,359,599,21,4,10,0.25,50,mature,0.97
PHN-OPP-F5,Oppo Find X5,Smartphones,299,499,21,4,10,0.25,50,mature,0.97
PHN-BUD-001,Budget Phone 4G,Smartphones,89,149,14,2,20,0.25,50,mature,0.97
TAB-IPD-AIR,iPad Air,Tablets,389,649,30,6,5,0.25,50,mature,0.97
TAB-SAM-S9,Samsung Tab S9,Tablets,329,549,21,4,8,0.25,50,mature,0.97
TAB-LEN-P11,Lenovo Tab P11,Tablets,179,299,14,2,15,0.25,50,mature,0.97
ACC-CAM-001,Outdoor Security Camera,Accessories,77,129,14,2,20,0.25,50,mature,0.93
ACC-BUD-001,Wireless Earbuds Pro,Accessories,53,89,10,2,30,0.25,50,mature,0.93
ACC-BUD-002,Wireless Earbuds Basic,Accessories,23,39,7,1,50,0.25,50,mature,0.93
ACC-WAT-001,Smartwatch Pro,Accessories,149,249,21,4,15,0.25,50,mature,0.93
ACC-WAT-002,Smartwatch Fitness,Accessories,59,99,14,2,25,0.25,50,mature,0.93
ACC-CHG-001,Fast Charger 65W,Accessories,17,29,7,1,100,0.25,50,mature,0.93
ACC-CAS-001,Phone Case Premium,Accessories,11,19,5,1,150,0.25,50,mature,0.93
