concurrent_id,categorie,produit_type,donnees_go,minutes_voix,sms_count,prix_ht,prix_ttc,engagement_mois,date_releve,source
TT,FORFAIT_PREPAYE,Forfait 5Go Hebdo,5,0,0,5.04,6.0,0,2026-01-15,WEB
TT,FORFAIT_PREPAYE,Forfait 20Go Mensuel,20,0,0,14.28,17.0,0,2026-01-15,WEB
TT,FORFAIT_PREPAYE,Forfait 50Go Mensuel,50,0,0,25.21,30.0,0,2026-01-15,WEB
TT,FORFAIT_PREPAYE,Forfait 100Go Mensuel,100,0,0,42.01,50.0,0,2026-01-15,WEB
TT,FORFAIT_POSTPAYE,Forfait Illimité Starter,25,300,100,29.41,35.0,12,2026-01-15,WEB
TT,FORFAIT_POSTPAYE,Forfait Illimité Standard,60,600,300,50.42,60.0,12,2026-01-15,WEB
TT,FORFAIT_POSTPAYE,Forfait Illimité Premium,150,1500,0,84.03,100.0,12,2026-01-15,WEB
TT,BOX_4G,Box 4G 100Go Mensuel,100,0,0,46.22,55.0,0,2026-01-15,WEB
TT,BOX_4G,Box 4G Illimitée,999,0,0,76.47,91.0,0,2026-01-15,WEB
TT,TERMINAL,Samsung Galaxy A16 4+128Go,,,,504.2,599.0,0,2026-01-15,VISITE_BOUTIQUE
TT,TERMINAL,Samsung Galaxy A26 5G 8+128Go,,,,924.37,1099.0,0,2026-01-15,VISITE_BOUTIQUE
TT,TERMINAL,Nokia 105 2024,,,,50.42,60.0,0,2026-01-15,VISITE_BOUTIQUE
TT,TERMINAL,Xiaomi Redmi 13C 6+128Go,,,,252.1,300.0,0,2026-01-15,VISITE_BOUTIQUE
ORANGE,FORFAIT_PREPAYE,Pass Journée 1Go,1,0,0,1.68,2.0,0,2026-01-15,WEB
ORANGE,FORFAIT_PREPAYE,Pack Data 20Go,20,0,0,15.96,19.0,0,2026-01-15,WEB
ORANGE,FORFAIT_PREPAYE,Pack Data 50Go,50,0,0,29.41,35.0,0,2026-01-15,WEB
ORANGE,FORFAIT_PREPAYE,Pack Data 100Go,100,0,0,50.42,60.0,0,2026-01-15,WEB
ORANGE,FORFAIT_POSTPAYE,Orange Go 30Go,30,200,100,33.61,40.0,12,2026-01-15,WEB
ORANGE,FORFAIT_POSTPAYE,Orange Go 60Go,60,600,300,58.82,70.0,12,2026-01-15,WEB
ORANGE,FORFAIT_POSTPAYE,Orange Go 150Go,150,1500,0,92.43,110.0,12,2026-01-15,WEB
ORANGE,BOX_4G,Orange Box 100Go,100,0,0,50.42,60.0,0,2026-01-15,WEB
ORANGE,BOX_4G,Orange Box Illimitée,999,0,0,84.03,100.0,0,2026-01-15,WEB
ORANGE,TERMINAL,Samsung Galaxy A16 4+128Go,,,,537.82,639.9,0,2026-01-15,VISITE_BOUTIQUE
ORANGE,TERMINAL,iPhone 15 128Go,,,,1680.67,1999.0,0,2026-01-15,WEB
ORANGE,TERMINAL,Samsung Galaxy A26 5G,,,,957.98,1139.9,0,2026-01-15,VISITE_BOUTIQUE
TT,FORFAIT_PREPAYE,Forfait 5Go Hebdo,5,0,0,5.04,6.0,0,2026-02-15,WEB
TT,FORFAIT_PREPAYE,Forfait 20Go Mensuel,20,0,0,13.44,16.0,0,2026-02-15,WEB
TT,FORFAIT_POSTPAYE,Forfait Illimité Starter,25,300,100,27.73,33.0,12,2026-02-15,WEB
ORANGE,FORFAIT_PREPAYE,Pack Data 50Go,50,0,0,27.73,33.0,0,2026-02-15,WEB
ORANGE,FORFAIT_POSTPAYE,Orange Go 30Go,30,200,100,31.93,38.0,12,2026-02-15,WEB
TT,TERMINAL,Samsung Galaxy A16 4+128Go,,,,487.39,579.0,0,2026-03-01,VISITE_BOUTIQUE
ORANGE,TERMINAL,Samsung Galaxy A26 5G,,,,907.56,1079.9,0,2026-03-01,VISITE_BOUTIQUE
TT,FORFAIT_PREPAYE,Forfait 20Go Mensuel,20,0,0,11.76,14.0,0,2026-04-01,WEB
ORANGE,FORFAIT_PREPAYE,Pack Data 20Go,20,0,0,13.44,16.0,0,2026-04-01,WEB
