categorie,situation,action,produit_cible,argument_vente,impact_observe,heure_min,heure_max,jour_semaine,store_id,source
gap_critique_terminal,Gap supérieur à 40 pourcent objectif avant 16h stock smartphones disponible trafic moyen,Proposer bundle iPhone 16 Pro Forfait 5G Max Assurance Premium en pack découverte,iPhone 16 Pro + Forfait 5G Max,Avance postpayé Ooredoo partez avec l iPhone aujourd hui 0 DT supplémentaire sur 24 mois c est 54 DT par mois tout inclus,340 DT panier moyen taux conversion 68 pourcent sur clients indécis,9,16,-1,ALL,terrain_i63
gap_critique_forfait,Gap supérieur à 40 pourcent clients qui rechargent régulièrement présents en boutique,Convertir clients recharge vers forfait Flexi 25Go avec calculateur économie en direct,Forfait Flexi 25Go 29 DT par mois,Vous rechargez combien par mois 3 recharges égal 30 DT le forfait Flexi même prix plus appels illimités plus 25Go économie immédiate,29 DT récurrent par mois objectif conversion 60 pourcent des clients recharge,9,20,-1,ALL,terrain_national
gap_critique_soiree,Gap supérieur à 40 pourcent après 18h dernières heures de vente clients pressés,Script closing express 3 minutes terminal forfait assurance en une seule signature,Samsung A55 5G + Forfait 5G Max,3 minutes et vous repartez avec votre nouveau smartphone activé avance postpayé aucun versement supplémentaire aujourd hui,250 DT panier durée vente réduite à 4 minutes idéal heures fermeture,18,20,-1,ALL,terrain_national
gap_critique_matin,Gap supérieur à 30 pourcent en début journée 9h 11h faible trafic conseillers disponibles,Appels sortants clients Ooredoo dont contrat expire dans 30 jours renouvellement proactif,Renouvellement contrat upgrade terminal,Bonjour votre contrat Ooredoo se termine bientôt nous avons une offre exclusive renouvellement avec l iPhone 16 Pro au meilleur tarif disponible ce matin seulement,400 DT panier moyen sur renouvellements 45 pourcent taux succès appels sortants,9,11,-1,ALL,terrain_i63
gap_critique_weekend,Gap critique le week-end samedi dimanche trafic élevé familles présentes,Cibler familles avec offre multi-ligne famille Ooredoo,Pack Famille 3 lignes Ooredoo,Avec le pack famille 3 lignes vous économisez 20 DT par mois chaque membre de la famille a son forfait data illimitée et vous gardez un seul compte,60 DT économisé par mois fidélisation famille sur 24 mois,9,20,5,ALL,terrain_national
gap_modere_accessoires,Gap 15 à 40 pourcent stock accessoires bien fourni clients qui achètent un terminal,Upsell systématique coque protection écran AirPods sur chaque vente terminal,AirPods Pro 3 + Coque Protection,Votre iPhone mérite d être protégé dès le premier jour et avec les AirPods Pro 3 la réduction de bruit va transformer vos appels professionnels,120 DT panier 72 pourcent acceptation si proposé au bon moment à la signature,9,20,-1,ALL,terrain_i63
gap_modere_assurance,Gap 15 à 40 pourcent ventes terminaux sans assurance objectif marge élevée,Proposer Assurance Premium sur 100 pourcent des ventes terminaux avec démonstration valeur,Assurance Premium 9 DT par mois,Un écran cassé égal 280 DT de réparation l assurance égal 9 DT par mois soit un café par semaine remplacement en 48h garanti,Marge 80 pourcent taux acceptation 67 pourcent si proposé après confirmation achat terminal,9,20,-1,ALL,terrain_national
gap_modere_fibre,Gap modéré clients professionnels ou familles nombreuses zone bien couverte fibre,Cross-sell Box Fibre 1Go aux clients qui achètent un smartphone premium,Box Fibre 1Go 59 DT par mois,Avec votre iPhone 16 Pro vous allez adorer avoir la fibre 1Go à la maison streaming 4K gaming télétravail tout fluide,59 DT récurrent par mois fidélisation 18 mois en moyenne sur clients double-play,10,20,-1,ALL,terrain_national
gap_modere_pic_16h,Gap modéré pic de trafic 16h 17h file d attente possible conseillers sous pression,Pré-qualifier les clients en attente recenser besoins pour optimiser temps de vente,Ensemble gamme selon besoin client,Pendant que vous attendez permettez-moi de comprendre votre besoin pour qu on aille droit au but quand ce sera votre tour qu est-ce qui vous amène aujourd hui,Réduction temps vente de 8 à 5 minutes satisfaction client plus 23 pourcent conversion plus 12 pourcent,15,18,-1,ALL,terrain_i63
objection_prix_iphone,Client intéressé iPhone 16 Pro mais hésite sur le prix 1299 DT,Recadrer le prix en coût mensuel valeur durable comparaison avec alternatives,iPhone 16 Pro 1299 DT,1299 DT sur 24 mois égal 54 DT par mois votre café du matin coûte plus cher sur un mois et l iPhone dure 5 ans minimum soit 22 DT par mois sur durée réelle,Taux conversion plus 34 pourcent sur clients qui objectent le prix closing en 2 minutes,9,20,-1,ALL,terrain_national
