script_id,origin,categorie,situation,action,produit_cible,argument_vente,impact_observe,heure_min,heure_max,jour_semaine,store_id,tags,source,legacy_pg_id
OOREDOO_0001,ooredoo_terrain,gap_critique_terminal,Gap supérieur à 40 pourcent objectif avant 16h stock smartphones disponible trafic moyen,Proposer bundle iPhone 16 Pro Forfait 5G Max Assurance Premium en pack découverte,iPhone 16 Pro + Forfait 5G Max,Avance postpayé Ooredoo partez avec l iPhone aujourd hui 0 DT supplémentaire sur 24 mois c est 54 DT par mois tout inclus,340 DT panier moyen taux conversion 68 pourcent sur clients indécis,9,16,-1,ALL,gap_critique_terminal,terrain_i63,
OOREDOO_0002,ooredoo_terrain,gap_critique_forfait,Gap supérieur à 40 pourcent clients qui rechargent régulièrement présents en boutique,Convertir clients recharge vers forfait Flexi 25Go avec calculateur économie en direct,Forfait Flexi 25Go 29 DT par mois,Vous rechargez combien par mois 3 recharges égal 30 DT le forfait Flexi même prix plus appels illimités plus 25Go économie immédiate,29 DT récurrent par mois objectif conversion 60 pourcent des clients recharge,9,20,-1,ALL,gap_critique_forfait,terrain_national,
OOREDOO_0003,ooredoo_terrain,gap_critique_soiree,Gap supérieur à 40 pourcent après 18h dernières heures de vente clients pressés,Script closing express 3 minutes terminal forfait assurance en une seule signature,Samsung A55 5G + Forfait 5G Max,3 minutes et vous repartez avec votre nouveau smartphone activé avance postpayé aucun versement supplémentaire aujourd hui,250 DT panier durée vente réduite à 4 minutes idéal heures fermeture,18,20,-1,ALL,gap_critique_soiree,terrain_national,
OOREDOO_0004,ooredoo_terrain,gap_critique_matin,Gap supérieur à 30 pourcent en début journée 9h 11h faible trafic conseillers disponibles,Appels sortants clients Ooredoo dont contrat expire dans 30 jours renouvellement proactif,Renouvellement contrat upgrade terminal,Bonjour votre contrat Ooredoo se termine bientôt nous avons une offre exclusive renouvellement avec l iPhone 16 Pro au meilleur tarif disponible ce matin seulement,400 DT panier moyen sur renouvellements 45 pourcent taux succès appels sortants,9,11,-1,ALL,gap_critique_matin,terrain_i63,
OOREDOO_0005,ooredoo_terrain,gap_critique_weekend,Gap critique le week-end samedi dimanche trafic élevé familles présentes,Cibler familles avec offre multi-ligne famille Ooredoo,Pack Famille 3 lignes Ooredoo,Avec le pack famille 3 lignes vous économisez 20 DT par mois chaque membre de la famille a son forfait data illimitée et vous gardez un seul compte,60 DT économisé par mois fidélisation famille sur 24 mois,9,20,5,ALL,gap_critique_weekend,terrain_national,
OOREDOO_0006,ooredoo_terrain,gap_modere_accessoires,Gap 15 à 40 pourcent stock accessoires bien fourni clients qui achètent un terminal,Upsell systématique coque protection écran AirPods sur chaque vente terminal,AirPods Pro 3 + Coque Protection,Votre iPhone mérite d être protégé dès le premier jour et avec les AirPods Pro 3 la réduction de bruit va transformer vos appels professionnels,120 DT panier 72 pourcent acceptation si proposé au bon moment à la signature,9,20,-1,ALL,gap_modere_accessoires,terrain_i63,
OOREDOO_0007,ooredoo_terrain,gap_modere_assurance,Gap 15 à 40 pourcent ventes terminaux sans assurance objectif marge élevée,Proposer Assurance Premium sur 100 pourcent des ventes terminaux avec démonstration valeur,Assurance Premium 9 DT par mois,Un écran cassé égal 280 DT de réparation l assurance égal 9 DT par mois soit un café par semaine remplacement en 48h garanti,Marge 80 pourcent taux acceptation 67 pourcent si proposé après confirmation achat terminal,9,20,-1,ALL,gap_modere_assurance,terrain_national,
OOREDOO_0008,ooredoo_terrain,gap_modere_fibre,Gap modéré clients professionnels ou familles nombreuses zone bien couverte fibre,Cross-sell Box Fibre 1Go aux clients qui achètent un smartphone premium,Box Fibre 1Go 59 DT par mois,Avec votre iPhone 16 Pro vous allez adorer avoir la fibre 1Go à la maison streaming 4K gaming télétravail tout fluide,59 DT récurrent par mois fidélisation 18 mois en moyenne sur clients double-play,10,20,-1,ALL,gap_modere_fibre,terrain_national,
OOREDOO_0009,ooredoo_terrain,gap_modere_pic_16h,Gap modéré pic de trafic 16h 17h file d attente possible conseillers sous pression,Pré-qualifier les clients en attente recenser besoins pour optimiser temps de vente,Ensemble gamme selon besoin client,Pendant que vous attendez permettez-moi de comprendre votre besoin pour qu on aille droit au but quand ce sera votre tour qu est-ce qui vous amène aujourd hui,Réduction temps vente de 8 à 5 minutes satisfaction client plus 23 pourcent conversion plus 12 pourcent,15,18,-1,ALL,gap_modere_pic_16h,terrain_i63,
OOREDOO_0010,ooredoo_terrain,objection_prix_iphone,Client intéressé iPhone 16 Pro mais hésite sur le prix 1299 DT,Recadrer le prix en coût mensuel valeur durable comparaison avec alternatives,iPhone 16 Pro 1299 DT,1299 DT sur 24 mois égal 54 DT par mois votre café du matin coûte plus cher sur un mois et l iPhone dure 5 ans minimum soit 22 DT par mois sur durée réelle,Taux conversion plus 34 pourcent sur clients qui objectent le prix closing en 2 minutes,9,20,-1,ALL,objection_prix_iphone,terrain_national,
OOREDOO_0011,ooredoo_terrain,objection_prix_samsung,Client compare iPhone avec Samsung A55 5G hésite sur la différence de prix,Valoriser écosystème Apple durabilité revente vs Samsung sur 2 ans,iPhone 16 Pro ou Samsung A55 5G selon profil,Le Samsung A55 à 899 DT est excellent mais l iPhone a une valeur de revente 3 fois supérieure après 2 ans vous récupérez 400 DT à la revente soit un coût réel identique,Conversion vers iPhone plus 28 pourcent quand comparaison revente expliquée,9,20,-1,ALL,objection_prix_samsung,terrain_national,
OOREDOO_0012,ooredoo_terrain,objection_engagement,Client refuse engagement 24 mois préfère liberté sans contrat,Présenter avantages engagement et alternative sans engagement avec tarif adapté,Forfait Liberté ou Forfait Flexi selon profil,L engagement 24 mois vous donne 30 pourcent de réduction sur le terminal et le forfait si vous partez avant on rembourse au prorata aucun risque et vous économisez dès le premier mois,Taux acceptation engagement 58 pourcent après explication prorata,9,20,-1,ALL,objection_engagement,terrain_national,
OOREDOO_0013,ooredoo_terrain,objection_concurrent,Client mentionne offre concurrente Tunisie Telecom ou Orange moins chère,Comparer couverture réseau qualité service et avantages fidélité Ooredoo,Forfait 5G Max + avantages fidélité,Notre réseau 5G couvre 95 pourcent du Grand Tunis et notre service client est disponible 24h sur 24 en boutique dans 5 minutes avec un vrai conseiller pas un chatbot,Rétention client 73 pourcent après comparaison réseau démontrée en boutique,9,20,-1,ALL,objection_concurrent,terrain_national,
OOREDOO_0014,ooredoo_terrain,meteo_pluie_accessoires,Météo défavorable pluie ou froid trafic en baisse clients captifs en boutique plus de temps de discussion,Pousser accessoires résistants à l eau et protection matériel en contexte météo,AirPods Pro 3 résistant eau + Apple Watch S10 étanche,Par ce temps votre téléphone a besoin d être protégé et les AirPods Pro 3 sont certifiés résistants à l eau parfaits pour vos déplacements sous la pluie,Ventes accessoires plus 40 pourcent par temps de pluie durée visite client plus 15 minutes,9,20,-1,ALL,meteo_pluie_accessoires,terrain_national,
OOREDOO_0015,ooredoo_terrain,meteo_pluie_forfait,Pluie trafic piéton réduit clients qui entrent sont motivés besoin réel,Proposer solution cloud et data pour rester connecté à la maison,Box Fibre 1Go ou Forfait Data Illimitée,Avec cette pluie le télétravail et le streaming sont parfaits pour rester chez soi notre Box Fibre 1Go est installée en 48h,Conversion fibre plus 25 pourcent les jours de mauvaise météo,9,20,-1,ALL,meteo_pluie_forfait,terrain_national,
OOREDOO_0016,ooredoo_terrain,meteo_chaleur_ete,Canicule été trafic en baisse clients évitent de sortir boutique climatisée refuge,Accueillir clients comme refuge climatisé offrir boisson fraîche augmenter durée visite,Premium Smartphone + Accessoires été,Profitez de notre climatisation pour découvrir tranquillement nos nouveautés sans rush on a le temps de vous trouver la solution parfaite,Durée visite plus 20 minutes en été conversion plus 18 pourcent sur visites longues,12,16,-1,ALL,meteo_chaleur_ete,terrain_national,
OOREDOO_0017,ooredoo_terrain,pic_trafic_16h,Pic de trafic 16h à 17h I63 représente 21 pourcent du CA journalier maximiser chaque interaction,Prioriser clients haut potentiel profils professionnels familles besoin urgent,Terminal Premium + Forfait Pro,Bienvenue je vois que vous êtes professionnel notre Pack Pro Business vous donne une ligne dédiée data illimitée et support prioritaire exactement ce qu il vous faut,Plus 35 pourcent CA pendant ce créneau si bien géré,15,18,-1,I63,pic_trafic_16h,terrain_i63,
OOREDOO_0018,ooredoo_terrain,pic_trafic_19h,Créneau 19h représente 12 pourcent CA I63 clients qui sortent du travail décision rapide,Script rapide 5 minutes closing immédiat sans hésitation,Samsung A55 5G ou Forfait Flexi,Je sais que vous êtes pressé en 5 minutes je vous montre exactement ce qu il vous faut et vous repartez avec votre nouveau forfait activé,Closing en moins de 6 minutes 65 pourcent taux succès créneau soir,18,20,-1,I63,pic_trafic_19h,terrain_i63,
