event_id,event_name,event_type,sous_type,start_date,end_date,scope,uplift_terminal,uplift_forfait,uplift_postpaid,uplift_sim,uplift_recharge,uplift_box_fibre,uplift_accessoire,intensity,strategy_note,affected_categories
EVT_0001,Ramadan_2023,religious,RAMADAN,2023-03-22,2023-04-20,national,0,25,25.0,0,25,0.0,0,HIGH,"Legacy 2023 event reformatted from flat uplift_pct=25 (categories: Forfait Mobile, Recharge, Postpayé).","Forfait Mobile,Postpaid,Recharge"
EVT_0002,Eid_Al_Fitr_2023,religious,EID_FITR,2023-04-21,2023-04-23,national,35,35,0.0,0,35,0.0,0,EXTREME,"Legacy 2023 event reformatted from flat uplift_pct=35 (categories: Forfait Mobile, Terminal, Recharge).","Forfait Mobile,Recharge,Terminal"
EVT_0003,Eid_Al_Adha_2023,religious,EID_ADHA,2023-06-27,2023-06-29,national,0,20,0.0,0,20,0.0,0,HIGH,"Legacy 2023 event reformatted from flat uplift_pct=20 (categories: Recharge, Forfait Mobile).","Forfait Mobile,Recharge"
EVT_0004,Summer_Sale_2023,shopping,SOLDES_ETE,2023-07-01,2023-08-31,national,15,0,0.0,0,0,0.0,15,MEDIUM,"Legacy 2023 event reformatted from flat uplift_pct=15 (categories: Terminal, Accessoire).","Accessoire,Terminal"
EVT_0005,Rentree_2023,academic,RENTREE_SCOLAIRE,2023-09-01,2023-09-20,national,30,0,0.0,0,0,30.0,30,HIGH,"Legacy 2023 event reformatted from flat uplift_pct=30 (categories: Terminal, Accessoire, Box Fibre).","Accessoire,Box Fibre,Terminal"
EVT_0006,Year_End_2023,shopping,FETES_FIN_ANNEE,2023-12-15,2023-12-31,national,20,20,0.0,0,0,0.0,20,MEDIUM,"Legacy 2023 event reformatted from flat uplift_pct=20 (categories: Terminal, Accessoire, Forfait Mobile).","Accessoire,Forfait Mobile,Terminal"
EVT_0007,Fete_Independance_2024,national,FETE_NATIONALE,2024-03-20,2024-03-20,national,0,10,0.0,0,10,0.0,0,LOW,"Legacy event reformatted from flat uplift_pct=10 (categories: Forfait Mobile, Recharge); not present in seed_market_supply.sql source.","Forfait Mobile,Recharge"
EVT_0008,Ramadan 2024,RELIGIEUX,RAMADAN,2024-03-11,2024-04-09,NATIONAL,-15,25,25.0,10,60,0.0,5,HIGH,"Mois sacre: baisse achat terminaux, forte demande recharges et forfaits data","Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0009,Eid Al-Fitr 2024,RELIGIEUX,EID_FITR,2024-04-10,2024-04-12,NATIONAL,80,40,40.0,30,150,0.0,60,EXTREME,"Pic maximal annuel - cadeaux smartphones, SIM voyageurs, recharges massives","Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0010,Eid Al-Adha 2024,RELIGIEUX,EID_ADHA,2024-06-16,2024-06-18,NATIONAL,45,25,25.0,20,80,0.0,30,HIGH,2e pic religieux - achats terminaux en famille,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0011,Rentree Scolaire 2024,SCOLAIRE,RENTREE_SCOLAIRE,2024-09-01,2024-09-20,NATIONAL,55,35,35.0,40,20,0.0,25,HIGH,"Tablettes, smartphones enfants/etudiants, forfaits data","Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0012,Soldes Hiver 2024,COMMERCIAL,SOLDES,2024-11-25,2025-01-05,NATIONAL,65,20,20.0,15,15,0.0,35,HIGH,Black Friday + soldes. Competition Orange/TT aggressive,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0013,Noel 2024,COMMERCIAL,FETES_FIN_ANNEE,2024-12-24,2024-12-31,NATIONAL,50,20,20.0,10,30,0.0,40,HIGH,"Ventes terminaux haut de gamme, accessoires cadeaux","Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0014,Yennayer 2025,NATIONAL,YENNAYER,2025-01-12,2025-01-14,NATIONAL,20,10,10.0,10,25,0.0,15,MEDIUM,Nouvel An berbere - pics regions interieures,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0015,CAN 2025,SPORTIF,COUPE_AFRIQUE,2025-01-21,2025-02-18,NATIONAL,10,35,35.0,15,30,0.0,10,HIGH,"Forte demande forfaits streaming, Box 4G - pics matchs Tunisie","Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
EVT_0016,Ramadan 2025,RELIGIEUX,RAMADAN,2025-03-01,2025-03-29,NATIONAL,-10,30,30.0,15,65,0.0,8,HIGH,Pattern Ramadan 2024 + acceleration offres 5G,"Accessoire,Forfait Mobile,Postpaid,Recharge,Terminal"
