event_name,event_type,sous_type,start_date,end_date,scope,uplift_terminal,uplift_forfait,uplift_sim,uplift_recharge,uplift_accessoire,intensite,note_strategie
Ramadan 2024,RELIGIEUX,RAMADAN,2024-03-11,2024-04-09,NATIONAL,-15,25,10,60,5,HIGH,"Mois sacré : baisse achat terminaux mais forte demande recharges/forfaits. Pics le week-end et en soirée après Iftar."
Eid Al-Fitr 2024,RELIGIEUX,EID_FITR,2024-04-10,2024-04-12,NATIONAL,80,40,30,150,60,EXTREME,"Pic maximal de l'année. Cadeaux smartphones, SIM pour voyageurs, recharges massives."
Eid Al-Adha 2024,RELIGIEUX,EID_ADHA,2024-06-16,2024-06-18,NATIONAL,45,25,20,80,30,HIGH,"2ème pic religieux. Achats terminaux en famille."
Rentrée Scolaire 2024,SCOLAIRE,RENTREE_SCOLAIRE,2024-09-01,2024-09-20,NATIONAL,55,35,40,20,25,HIGH,"Tablettes, smartphones enfants/étudiants. Forfaits data étudiants."
Fête Nationale Tunisie 2024,NATIONAL,FETE_NATIONALE,2024-10-15,2024-10-15,NATIONAL,15,10,5,20,10,LOW,"Journée fériée — forte affluence boutiques l'après-midi."
Soldes Hiver 2024,COMMERCIAL,SOLDES,2024-11-25,2025-01-05,NATIONAL,65,20,15,15,35,HIGH,"Période promotionnelle forte. Comparaison prix avec Orange et TT."
Noël / Réveillon 2024,COMMERCIAL,FETES_FIN_ANNEE,2024-12-24,2024-12-31,NATIONAL,50,20,10,30,40,HIGH,"Ventes terminaux haut de gamme, accessoires cadeaux."
Yennayer 2025,NATIONAL,YENNAYER,2025-01-12,2025-01-14,NATIONAL,20,10,10,25,15,MEDIUM,"Fête du Nouvel An berbère — pics régionaux (Kairouan, régions intérieures)."
CAN 2025,SPORTIF,COUPE_AFRIQUE,2025-01-21,2025-02-18,NATIONAL,10,35,15,30,10,HIGH,"Forte demande forfaits streaming, Box 4G. Pic pendant les matchs Tunisie."
Ramadan 2025,RELIGIEUX,RAMADAN,2025-03-01,2025-03-29,NATIONAL,-10,30,15,65,8,HIGH,"Même pattern 2024 mais avec accélération offres 5G."
Eid Al-Fitr 2025,RELIGIEUX,EID_FITR,2025-03-30,2025-04-01,NATIONAL,85,45,35,160,65,EXTREME,"Plus gros pic de ventes annuel. Préparer stocks 6 semaines avant."
Fête Indépendance Tunisie 2025,NATIONAL,FETE_NATIONALE,2025-03-20,2025-03-20,NATIONAL,10,8,5,15,8,LOW,"Journée fériée courte."
Fête du Travail 2025,NATIONAL,FETE_TRAVAIL,2025-05-01,2025-05-01,NATIONAL,12,8,5,15,8,LOW,"1er Mai — demi-journée de forte affluence."
Eid Al-Adha 2025,RELIGIEUX,EID_ADHA,2025-06-06,2025-06-08,NATIONAL,50,28,25,85,35,HIGH,"Cadeaux familiaux. Hausse notable zone Centre et Sud."
Mawlid 2025,RELIGIEUX,MAWLID,2025-09-04,2025-09-06,NATIONAL,20,15,10,35,15,MEDIUM,"Fête nationale religieuse."
Rentrée Scolaire 2025,SCOLAIRE,RENTREE_SCOLAIRE,2025-09-02,2025-09-22,NATIONAL,60,40,45,22,28,HIGH,"Tablettes, smartphones étudiant, forfaits data illimité. Forte compétition Orange/TT."
Soldes Hiver 2025,COMMERCIAL,SOLDES,2025-11-28,2026-01-06,NATIONAL,70,22,18,18,40,HIGH,"Black Friday + soldes. Orangey et TT agressifs sur prix terminaux."
Noël / Réveillon 2025,COMMERCIAL,FETES_FIN_ANNEE,2025-12-24,2025-12-31,NATIONAL,55,22,12,32,42,HIGH,"Pic terminaux premium. iPhone et Samsung Galaxy en tête."
Yennayer 2026,NATIONAL,YENNAYER,2026-01-12,2026-01-14,NATIONAL,22,12,12,28,17,MEDIUM,"Fête berbère. Impact régional significatif."
Ramadan 2026,RELIGIEUX,RAMADAN,2026-02-17,2026-03-18,NATIONAL,-12,32,18,70,10,HIGH,"Ramadan en hiver 2026. Soirées plus longues = plus d'activité digitale."
Eid Al-Fitr 2026,RELIGIEUX,EID_FITR,2026-03-20,2026-03-22,NATIONAL,90,48,38,170,70,EXTREME,"Eid 2026 — pic historique attendu avec 5G déployée."
Fête Indépendance 2026,NATIONAL,FETE_NATIONALE,2026-03-20,2026-03-20,NATIONAL,10,8,5,15,8,LOW,"Même jour qu'Eid 2026 cette année — impact cumulé fort."
