categorie,situation,action,produit_cible,argument_vente,impact_observe,heure_min,heure_max,jour_semaine,store_id,source
script_iphone_decouverte,Client entre en boutique et regarde les iPhones sans demander d aide,Approcher avec question ouverte sur usage principal pas sur le produit,iPhone 16 Pro,Qu est-ce que vous utilisez principalement sur votre téléphone au quotidien,Taux engagement 78 pourcent conversation vs approche produit directe,9,20,-1,ALL,terrain_i63
script_iphone_demo_live,Client indécis entre iPhone et Samsung veut voir la différence,Démonstration live comparaison caméra en boutique sur photo du client,iPhone 16 Pro,Prenons une photo maintenant avec les deux et vous choisissez celui que vous préférez,Conversion iPhone 67 pourcent après démonstration photo live vs description verbale,9,20,-1,ALL,terrain_national
script_iphone_budget,Client dit que 1299 DT c est trop cher pour lui,Recadrer en coût mensuel via avance postpayé Ooredoo 24 mois,iPhone 16 Pro,1299 DT sur 24 mois via avance postpayé Ooredoo c est 54 DT par mois soit moins qu un abonnement Netflix plus Spotify réunis,Taux conversion plus 34 pourcent sur clients qui objectent le prix après recadrage mensuel,9,20,-1,ALL,terrain_national
script_samsung_gaming,Client gamer veut le meilleur smartphone pour le gaming mobile,Démonstration Fortnite ou PUBG live sur Samsung S25 Ultra en boutique,Samsung Galaxy S25 Ultra,Testez Fortnite maintenant sur cet écran 120Hz avec le processeur Snapdragon 8 Elite la différence est immédiate,Conversion gaming plus 48 pourcent après test jeu live en boutique,9,20,-1,ALL,terrain_national
script_forfait_5g_demo,Client ne comprend pas la valeur de la 5G hésite à payer plus,Test de vitesse live comparatif 4G vs 5G sur deux téléphones en boutique,Forfait 5G Max,Regardez la différence en direct voici la 4G et voici la 5G sur YouTube 4K le chargement est instantané,Conversion vers 5G plus 45 pourcent après démonstration live vs explication verbale,9,20,-1,ALL,terrain_national
script_forfait_calcul,Client utilise 3 recharges par mois hésite à passer au forfait,Calculer ensemble l économie réelle recharge vs forfait sur une feuille ou téléphone,Forfait Flexi 25Go,Vous rechargez combien par mois 3 fois 10 DT égal 30 DT. Le Flexi c est 29 DT avec les appels illimités et 25Go. Vous économisez et simplifiez votre vie,Conversion recharge vers forfait 62 pourcent quand calcul fait ensemble devant le client,9,20,-1,ALL,terrain_i63
script_fibre_qualification,Client vient acheter un smartphone premium demande si la boutique vend aussi internet,Qualifier le besoin fibre et proposer bundle smartphone plus box ce même jour,Box Fibre 1Go,Oui absolument avec votre iPhone 16 Pro et notre Box Fibre 1Go vous avez le meilleur des deux mondes et si vous prenez les deux aujourd hui installation gratuite prioritaire,Cross-sell fibre 29 pourcent sur acheteurs smartphone premium qualifiés,10,20,-1,ALL,terrain_national
script_assurance_obligatoire,Conseiller oublie de proposer assurance après vente terminal,Intégrer assurance dans le closing avant la signature jamais après,Assurance Premium,Avant de signer j inclus l Assurance Premium à 9 DT par mois votre téléphone est protégé vol casse remplacement 48h. On ajoute ça,Taux acceptation assurance 89 pourcent quand présentée comme partie intégrante du contrat vs option,9,20,-1,ALL,terrain_national
script_apple_watch_sante,Client sportif mentionne la course ou le gym pendant la conversation,Segue naturel vers Apple Watch comme coach santé personnel,Apple Watch S10,Puisque vous faites du sport l Apple Watch S10 surveille votre fréquence cardiaque vos calories et votre sommeil. Et elle est étanche jusqu à 50 mètres pour la natation,Vente Apple Watch plus 55 pourcent quand présentée après mention activité sportive client,9,20,-1,ALL,terrain_national
script_airpods_travail,Client mentionne les réunions ou le télétravail pendant la conversation,Proposer AirPods Pro 3 comme solution professionnelle pour les calls,AirPods Pro 3,Pour vos réunions les AirPods Pro 3 ont la réduction de bruit active la plus efficace du marché. Vos collègues n entendent plus le bruit autour de vous,Vente AirPods plus 42 pourcent quand liée au contexte professionnel mentionné par le client,9,20,-1,ALL,terrain_national
script_cloud_peur_perte,Client mentionne qu il a perdu des photos ou des contacts par le passé,Utiliser la peur de la perte de données pour vendre Cloud Backup,Cloud Backup 1To,Vous avez déjà perdu des photos importantes c est exactement pour ça qu on a créé le Cloud Backup à 15 DT par mois. Tout est sauvegardé automatiquement chaque nuit,Adoption Cloud 52 pourcent après récit de perte de données réelle ou peur exprimée,9,20,-1,ALL,terrain_national
script_famille_multi,Famille avec plusieurs membres qui utilisent tous des téléphones différents,Présenter le Forfait Famille 5G comme solution économique globale,Forfait Famille 5G,Avec le Forfait Famille 5G à 120 DT par mois vous avez 4 lignes complètes avec data illimitée. Actuellement vous payez combien pour toute la famille,Conversion famille plus 55 pourcent quand économie globale calculée devant le client,9,20,-1,ALL,terrain_national
script_pro_independant,Artisan ou indépendant qui vient pour un téléphone personnel,Qualifier le besoin professionnel et proposer Pack Pro Business en supplément,Pack Pro Business,En tant qu indépendant votre ligne professionnelle est entièrement déductible fiscalement. Le Pack Pro Business à 89 DT par mois inclut aussi le cloud backup pour vos documents,Conversion vers pack pro 43 pourcent sur artisans et indépendants correctement qualifiés,9,18,-1,ALL,terrain_national
script_senior_patience,Client senior qui hésite sur un smartphone dit que c est compliqué,Script patient avec démonstration des 3 usages essentiels seulement,iPhone SE,Je vais vous montrer seulement 3 choses en 10 minutes appeler prendre des photos et envoyer un message. C est tout ce qu il vous faut. Et notre boutique reste disponible si vous avez besoin,Conversion senior 58 pourcent après démonstration simplifiée des 3 usages clés sans jargon,9,18,-1,ALL,terrain_national
