supplier_id,nom,pays_origine,type_fournisseur,categories,marques,delai_livraison_moy,delai_livraison_std,taux_fiabilite,commande_min,commande_multiple,devise,conditions_paiement,contact_nom,contact_email
SAMSUNG_LEVANT,Samsung Electronics Levant,UAE,CONSTRUCTEUR,"[""TERMINAL"",""ACCESSOIRE""]","[""Samsung""]",14,3,0.93,20,10,USD,"Net 60 jours",Ahmed Al-Rashidi,samsung.levant@samsung.com
APPLE_MEA,Apple Middle East & Africa,UAE,CONSTRUCTEUR,"[""TERMINAL"",""ACCESSOIRE""]","[""Apple""]",21,5,0.85,5,5,USD,"Net 45 jours, remise 2% si 30j",Youssef Hamdi,apple.mea@apple.com
TRANSSION_AFRICA,Transsion Holdings Africa,Dubai,CONSTRUCTEUR,"[""TERMINAL""]","[""Tecno"",""Infinix"",""Itel""]",12,2,0.95,50,25,USD,"Net 30 jours",Liu Wei,transsion.africa@transsion.com
XIAOMI_MEA,Xiaomi Middle East & Africa,UAE,CONSTRUCTEUR,"[""TERMINAL"",""ACCESSOIRE""]","[""Xiaomi"",""Redmi"",""POCO""]",18,4,0.90,30,10,USD,"Net 45 jours",Mo Fan,xiaomi.mea@xiaomi.com
NOKIA_HMD,HMD Global (Nokia),Finland,CONSTRUCTEUR,"[""TERMINAL""]","[""Nokia""]",10,2,0.97,100,50,EUR,"Net 60 jours",Pekka Mäkinen,hmd.supply@hmd.global
HUAWEI_MEA,Huawei Middle East & Africa,Egypt,CONSTRUCTEUR,"[""TERMINAL"",""ROUTER"",""ACCESSOIRE""]","[""Huawei"",""Honor""]",16,4,0.88,20,10,USD,"Net 45 jours",Chen Jie,huawei.mea@huawei.com
MIBRO_DIST,Mibro & Watch Distributeur TN,Tunisia,DISTRIBUTEUR_NATIONAL,"[""ACCESSOIRE"",""WEARABLE""]","[""Mibro"",""Watch GS""]",7,2,0.91,20,10,TND,"Net 30 jours",Mehdi Trabelsi,mibro.tn@gmail.com
MBTECH_TN,MB Tech Tunisie,Tunisia,DISTRIBUTEUR_NATIONAL,"[""TERMINAL"",""ACCESSOIRE""]","[""Samsung"",""Apple"",""Xiaomi""]",5,1,0.96,10,5,TND,"Paiement 30 jours",Sami Ben Youssef,mbtech@mbtech.tn
ABC_TN,ABC Technology Tunisie,Tunisia,DISTRIBUTEUR_NATIONAL,"[""TERMINAL"",""ACCESSOIRE""]","[""Nokia"",""Huawei"",""Infinix""]",4,1,0.94,10,5,TND,"Paiement 45 jours",Riadh Belhaj,abc.tech.tn@gmail.com
GEMALTO_SIM,Thales (Gemalto) SIM Cards,France,SIM_MANUFACTURER,"[""SIM""]","[""Ooredoo SIM""]",5,1,0.99,1000,1000,EUR,"Net 60 jours",Francois Dupont,sim.supply@thales.com
OOREDOO_CENTRAL,Entrepôt Central Ooredoo TN,Tunisia,OPERATEUR_INTERNE,"[""TERMINAL"",""SIM"",""ACCESSOIRE"",""RECHARGE""]","[""ALL""]",2,1,0.99,1,1,TND,"Interne",Direction Logistique,logistique@ooredoo.tn
ORAIMO_DIST,Oraimo Distributeur TN,Tunisia,DISTRIBUTEUR_NATIONAL,"[""ACCESSOIRE""]","[""Oraimo""]",6,2,0.89,20,10,TND,"Net 30 jours",Imed Sassi,oraimo.tn@oraimo.com
